"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Nov-2022","EQ","773.10","776.00","765.00","771.30","771.00","770.15","770.04","861.15","650.20","875,779","674,381,245.35","22,040"
"22-Nov-2022","EQ","771.00","776.90","766.20","770.95","772.00","771.30","772.42","861.15","650.20","868,523","670,862,909.85","26,170"
"21-Nov-2022","EQ","774.30","775.45","762.30","775.70","770.40","770.95","769.10","861.15","650.20","760,664","585,025,928.80","24,820"
"18-Nov-2022","EQ","789.35","793.00","769.25","786.00","777.00","775.70","781.02","861.15","650.20","1,417,103","1,106,790,895.50","39,877"
"17-Nov-2022","EQ","766.00","789.45","766.00","769.55","784.50","786.00","784.11","861.15","650.20","2,944,879","2,309,107,427.95","74,382"
"16-Nov-2022","EQ","772.75","774.20","764.80","772.75","770.00","769.55","767.31","861.15","650.20","1,071,710","822,337,913.50","24,297"
"15-Nov-2022","EQ","767.75","774.00","763.50","767.75","773.65","772.75","768.02","861.15","650.20","756,436","580,954,522.05","21,028"
"14-Nov-2022","EQ","773.35","775.00","766.50","773.20","767.10","767.75","768.90","861.15","650.20","708,750","544,959,865.25","26,238"
"14-Nov-2022","BL","773.20","773.20","773.20","768.05","773.20","773.20","773.20","804.05","768.05","927,735","717,324,702.00","1"
"11-Nov-2022","EQ","772.55","779.85","770.05","768.70","771.80","773.20","774.20","861.15","650.20","921,004","713,037,070.85","34,310"
"10-Nov-2022","EQ","770.00","771.70","762.05","770.15","767.75","768.70","766.34","861.15","650.20","839,329","643,207,915.30","50,010"
"09-Nov-2022","EQ","778.50","781.80","765.85","772.15","770.20","770.15","773.21","861.15","650.20","1,256,533","971,561,640.60","32,438"
"07-Nov-2022","EQ","768.15","776.45","764.30","764.30","770.05","772.15","770.20","861.15","650.20","1,004,208","773,438,250.20","44,322"
"04-Nov-2022","EQ","761.00","767.00","759.20","762.75","766.00","764.30","763.00","861.15","650.20","940,199","717,374,810.60","58,047"
"03-Nov-2022","EQ","768.05","770.00","756.65","768.05","764.00","762.75","762.15","861.15","650.20","1,573,795","1,199,469,401.30","69,208"
"03-Nov-2022","BL","768.05","768.05","768.05","802.85","768.05","768.05","768.05","804.05","768.05","927,735","712,546,866.75","1"
"02-Nov-2022","EQ","776.00","778.20","764.70","774.85","767.25","768.05","768.43","861.15","650.20","1,073,726","825,084,414.40","25,701"
"01-Nov-2022","EQ","773.00","784.50","767.40","770.15","774.25","774.85","774.23","861.15","650.20","1,893,673","1,466,147,505.90","51,026"
"31-Oct-2022","EQ","765.20","772.45","761.90","761.35","770.35","770.15","766.62","861.15","650.20","997,865","764,984,512.65","33,529"
"28-Oct-2022","EQ","773.45","773.45","759.50","770.05","761.40","761.35","761.88","861.15","650.20","1,598,314","1,217,720,480.35","36,149"
"27-Oct-2022","EQ","774.75","779.50","759.60","766.95","770.65","770.05","768.67","861.15","650.20","1,692,389","1,300,887,896.85","48,528"
"25-Oct-2022","EQ","770.00","776.80","764.65","770.95","767.50","766.95","771.64","861.15","650.20","871,995","672,862,813.10","30,403"
"24-Oct-2022","EQ","770.00","776.00","764.85","761.65","772.00","770.95","772.38","861.15","650.20","292,558","225,967,164.20","14,754"
"21-Oct-2022","EQ","773.00","780.85","755.05","770.70","764.85","761.65","767.54","863.00","650.20","1,692,279","1,298,895,027.30","57,976"
"20-Oct-2022","EQ","761.55","772.00","755.50","764.55","771.00","770.70","766.72","863.00","650.20","955,562","732,646,953.65","38,211"
"19-Oct-2022","EQ","774.45","777.00","761.10","774.35","763.80","764.55","767.80","863.00","650.20","1,115,277","856,308,286.15","42,271"
"18-Oct-2022","EQ","767.00","776.00","763.55","763.15","773.00","774.35","771.21","863.00","650.20","1,361,691","1,050,146,195.90","35,062"
"17-Oct-2022","EQ","761.25","771.95","757.30","761.25","763.35","763.15","765.83","863.00","650.20","940,646","720,371,863.45","40,218"
"14-Oct-2022","EQ","768.95","768.95","760.00","757.40","760.10","761.25","764.34","863.00","650.20","1,278,730","977,387,704.75","35,158"
"13-Oct-2022","EQ","754.95","760.20","749.15","757.35","756.55","757.40","755.81","863.00","650.20","1,198,492","905,835,253.05","29,936"
"12-Oct-2022","EQ","745.50","759.00","738.80","742.60","755.50","757.35","750.90","863.00","650.20","1,372,962","1,030,962,571.65","47,000"
"11-Oct-2022","EQ","758.00","759.85","740.25","757.15","742.60","742.60","750.00","863.00","650.20","1,956,824","1,467,623,231.85","60,265"
"10-Oct-2022","EQ","769.25","775.05","755.00","780.90","758.70","757.15","760.84","863.00","650.20","2,334,168","1,775,918,659.75","70,735"
"07-Oct-2022","EQ","787.90","793.90","779.05","794.30","781.20","780.90","783.02","863.00","650.20","1,053,907","825,235,503.00","46,394"
"06-Oct-2022","EQ","790.00","799.60","784.10","785.15","794.00","794.30","793.39","863.00","650.20","2,067,042","1,639,971,368.50","50,133"
"04-Oct-2022","EQ","786.75","792.45","781.20","777.95","784.75","785.15","786.54","863.00","650.20","1,238,967","974,499,313.95","36,990"
"03-Oct-2022","EQ","802.85","804.80","776.00","802.85","778.20","777.95","787.66","863.00","650.20","1,652,675","1,301,747,723.20","55,739"
"03-Oct-2022","BL","802.85","802.85","802.85","784.80","802.85","802.85","802.85","804.05","784.80","767,444","616,142,415.40","1"
"30-Sep-2022","EQ","791.00","806.00","787.00","792.60","803.90","802.85","795.95","863.00","650.20","1,436,359","1,143,266,051.20","45,133"
